datetime,outflow_cfs,inflow_cfs
10/31/2008,14788,2049
11/30/2008,2910,6910
12/31/2008,26366,30705
1/31/2009,20822,22813
2/28/2009,4013,8348
3/31/2009,50135,73057
4/30/2009,40051,16256
5/31/2009,3258,6118
6/30/2009,20223,19141
7/31/2009,4950,950
8/31/2009,4100,818
9/30/2009,4032,3499
10/31/2009,3005,5280
11/30/2009,25027,53607
12/31/2009,73543,85799
1/31/2010,34894,47933
2/28/2010,75479,61594
3/31/2010,24669,26270
4/30/2010,13221,6709
5/31/2010,12328,35746
6/30/2010,18923,6943
7/31/2010,3438,6894
8/31/2010,3063,5048
9/30/2010,3679,10916
10/31/2010,2911,4516
11/30/2010,2379,3121
12/31/2010,1857,5692
1/31/2011,1922,4566
2/28/2011,2146,9009
3/31/2011,2510,19861
4/30/2011,6907,16026
5/31/2011,8575,13755
6/30/2011,5406,5074
7/31/2011,4666,5595
8/31/2011,3891,4810
9/30/2011,3439,6011
10/31/2011,3057,4854
11/30/2011,2803,7726
12/31/2011,2298,7999
1/31/2012,1953,6048
2/29/2012,1827,9148
3/31/2012,2478,28684
4/30/2012,7280,5686
5/31/2012,13821,11954
6/30/2012,3320,6067
7/31/2012,3986,6821
8/31/2012,3538,7527
9/30/2012,3446,15373
10/31/2012,3245,4515
11/30/2012,2067,3411
12/31/2012,1798,9403
1/31/2013,20237,26491
2/28/2013,19789,27622
3/31/2013,19523,15840
4/30/2013,15967,19043
5/31/2013,32570,31783
6/30/2013,31027,42082
7/31/2013,45557,40126
8/31/2013,5313,9307
9/30/2013,2915,5857
10/31/2013,2775,3677
11/30/2013,1867,6992
12/31/2013,4375,31565
1/31/2014,42601,31679
2/28/2014,28144,29386
3/31/2014,46305,52081
4/30/2014,38137,41329
5/31/2014,44925,47568
6/30/2014,8492,5157
7/31/2014,3007,11612
8/31/2014,5879,10122
9/30/2014,3052,11701
10/31/2014,3017,8199
11/30/2014,2017,12175
12/31/2014,14736,27884
1/31/2015,40094,28340
2/28/2015,16231,20906
3/31/2015,45286,46601
4/30/2015,15599,18072
5/31/2015,6040,7026
6/30/2015,2910,9334
7/31/2015,3377,6893
8/31/2015,3282,6237
9/30/2015,3005,4871
10/31/2015,3002,18862
11/30/2015,32609,40036
12/31/2015,25858,99642
1/31/2016,97315,27014
2/29/2016,52558,55490
3/31/2016,30131,29516
4/30/2016,9898,12849
5/31/2016,25164,28979
6/30/2016,14432,17736
7/31/2016,26606,28380
8/31/2016,5815,6503
9/30/2016,3863,16962
10/31/2016,47639,59749
11/30/2016,11353,3597
12/31/2016,3007,5602
1/31/2017,13365,22554
2/28/2017,3044,6679
3/31/2017,3870,9457
4/30/2017,9749,82303
5/31/2017,99906,34886
6/30/2017,33839,31673
7/31/2017,5368,7378
8/31/2017,4084,7437
9/30/2017,4080,3909
10/31/2017,3872,6057
11/30/2017,2094,2352
12/31/2017,1800,4575
1/31/2018,1997,11972
2/28/2018,1846,10539
3/31/2018,15004,28564
4/30/2018,39856,44140
5/31/2018,30905,37281
6/30/2018,15654,6900
7/31/2018,5282,6452
8/31/2018,3983,15548
9/30/2018,19399,59022
10/31/2018,58420,30613
11/30/2018,68299,95431
12/31/2018,83838,74767
1/31/2019,69854,53441
2/28/2019,41448,80587
3/31/2019,86541,48850
4/30/2019,73286,77740
5/31/2019,9292,6875
6/30/2019,14602,20295
7/31/2019,3154,7504
8/31/2019,3007,8594
9/30/2019,2995,3727
10/31/2019,3078,6097
11/30/2019,1950,5605
12/31/2019,2033,13854
1/31/2020,26488,34174
2/29/2020,72616,74824
3/31/2020,17545,20847
4/30/2020,18935,24642
5/31/2020,48173,56911
6/30/2020,38423,23586
7/31/2020,3446,6076
8/31/2020,14230,22143
9/30/2020,16495,18924
10/31/2020,21458,23549
11/30/2020,36247,41095
12/31/2020,71623,86038
1/31/2021,69623,59716
2/28/2021,52822,99303
3/31/2021,87499,33044
4/30/2021,25170,22526
5/31/2021,4550,7135
6/30/2021,7112,12237
7/31/2021,11934,15047
8/31/2021,3313,5167
9/30/2021,3161,5177
10/31/2021,3217,7439
11/30/2021,2919,2389
12/31/2021,2285,4608
1/31/2022,8932,27092
2/28/2022,8939,11690
3/31/2022,38163,41245
4/30/2022,11158,13627
5/31/2022,14856,21874
6/30/2022,6145,4073
7/31/2022,3283,9251
8/31/2022,3312,3316
9/30/2022,4030,7473
